iter	Passed	Remaining
887	210837	26592
888	211072	26354
889	211310	26117
890	211534	25877
891	211813	25645
892	212005	25402
893	212236	25164
894	212504	24930
895	212796	24699
896	213133	24473
897	213391	24238
898	213618	23999
899	213841	23760
900	214055	23519
901	214248	23277
902	214491	23040
903	214783	22808
904	215040	22573
905	215290	22336
906	215533	22099
907	215786	21863
908	216034	21627
909	216249	21387
910	216478	21148
911	216707	20910
912	217104	20687
913	217333	20449
914	217545	20209
915	217751	19968
916	217977	19729
917	218190	19489
918	218419	19251
919	218641	19012
920	218875	18774
921	219122	18537
922	219366	18300
923	219586	18061
924	219827	17823
925	220080	17587
926	220330	17350
927	220577	17113
928	220825	16876
929	221062	16639
930	221308	16401
931	221544	16164
932	221764	15925
933	222009	15688
934	222262	15451
935	222451	15210
936	222686	14972
937	222952	14736
938	223175	14498
939	223394	14259
940	223603	14019
941	223831	13781
942	224065	13543
943	224303	13306
944	224524	13067
945	224756	12829
946	225005	12592
947	225252	12355
948	225510	12119
949	225740	11881
950	225955	11642
951	226179	11404
952	226392	11165
953	226597	10926
954	226791	10686
955	227015	10448
956	227233	10210
957	227468	9972
958	227648	9732
959	227851	9493
960	228072	9255
961	228298	9018
962	228549	8781
963	228772	8543
964	229009	8306
965	229250	8068
966	229478	7831
967	229720	7594
968	229941	7356
969	230162	7118
970	230380	6880
971	230610	6643
972	230848	6405
973	231068	6168
974	231283	5930
975	231525	5693
976	231756	5455
977	231976	5218
978	232214	4981
979	232414	4743
980	232635	4505
981	232857	4268
982	233076	4030
983	233287	3793
984	233514	3556
985	233734	3318
986	233959	3081
987	234188	2844
988	234426	2607
989	234665	2370
990	234883	2133
991	235103	1895
992	235333	1658
993	235583	1422
994	235831	1185
995	236076	948
996	236318	711
997	236554	474
998	236797	237
999	237045	0
